id,name,area,salary,experience,cnt_skills,key_skills,alternate_url
52998267,Middle/Senior JS-разработчик (backend / frontend / full-stack),Москва,200000,2,5,"Node.js, JavaScript, TypeScript, React, Английский язык",https://hh.ru/vacancy/52998267
54660606,Разработчик Middle Backend/FullStack (удаленно),Москва,200000,2,5,"Hibernate ORM, Spring Framework, PostgreSQL, Java, SQL",https://hh.ru/vacancy/54660606
52335454,Middle Backend Developer (удаленно),Москва,200000,2,6,"Git, SQL, Английский язык, PostgreSQL, ООП, Node.js",https://hh.ru/vacancy/52335454
53205820,QA Automation C# (backend),Москва,200000,2,8,"SQL, Git, Oracle Pl/SQL, XML, ORACLE, QA, C#, JSON",https://hh.ru/vacancy/53205820
54794224,PHP программист Backend / PHP разработчик (PHP developer),Санкт-Петербург,200000,2,7,"PHP, Linux, JavaScript, Laravel, Git, MySQL, ООП",https://hh.ru/vacancy/54794224
54649905,Middle backend developer,Москва,200000,2,5,"Node.js, Linux, PostgreSQL, Redis, RabbitMQ",https://hh.ru/vacancy/54649905
54609265,Back-end - Software Developer – Platform development,Иркутск,200000,2,5,"Spring Framework, Java, SQL, Java SE, JDBC",https://hh.ru/vacancy/54609265
49317346,Middle .NET Backend Developer,Москва,200000,2,5,"Git, RabbitMQ, Docker, C#, .NET Framework",https://hh.ru/vacancy/49317346
54654034,Middle Backend Developer,Рязань,200000,2,6,"SQL, GO, NET Core C#, С#, Linux, NoSQL",https://hh.ru/vacancy/54654034
42749296,Backend разработчик (PHP),Москва,200000,2,4,"Git, ООП, PHP, SQL",https://hh.ru/vacancy/42749296
54565403,Backend разработчик ASP.NET Core MVC,Москва,195000,2,6,"Entity Framework, C#, LINQ, SQL, MS SQL Server, ООП",https://hh.ru/vacancy/54565403
54372254,Бэкенд-разработчик (Python) / Middle Python / Python Developer (Remote),Москва,185000,2,6,"Python, Git, MongoDB, Redis, Design Patterns, Flask",https://hh.ru/vacancy/54372254
54203821,Backend-разработчик (Go / Golang),Москва,185000,2,6,"Golang, PostgreSQL, Docker, RabbitMQ, MongoDB, ООП",https://hh.ru/vacancy/54203821
49891594,Back-End Developer,Краснодар,184000,2,6,"Git, MySQL, JavaScript, Java, PostgreSQL, Rust",https://hh.ru/vacancy/49891594
49891595,Back-End Developer,Пермь,184000,2,6,"Git, MySQL, JavaScript, Java, PostgreSQL, Rust",https://hh.ru/vacancy/49891595
51834014,Backend/Frontend- разработчик (Middle/Senior-TeamLeader),Ижевск,180000,2,8,"JavaScript, MySQL, Обучение и развитие, Управление персоналом, PHP, MVC, React, Vue",https://hh.ru/vacancy/51834014
